STATE,estuary,DLAT,DLONG,CONDITION,CLASSIFICATION,SUBCLASS,BARRIER_BACKBARRIER,CENTRAL_BASIN,FLUVIAL_BAYHEAD_DELTA,FLOOD_EBB_DELTA,INTERTIDAL_FLATS,MANGROVE,SALTMARSH_SALTFLAT,TIDAL_SANDBANKS,ROCKY_REEF,CORAL,CHANNEL,BEDROCK,FLOODPLAIN,BEDROCK_PERIMETER,PERIMETER,CATCHMENTAREA,WATERAREA,MAXLENGTH,MAXWIDTH,ENTLENGTH,ENTRANCEWIDTH,MEANWAVEHEIGHT,MEANWAVEPERIOD,MAXWAVEHEIGHT,MAXWAVEPERIOD,TIDALRANGE,TIDALTYPE
TAS,Scamander River,-41.465,148.264,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.2034,,2.46156,0.21011,0.2927,,0.28808,,,,1.3752,,,9.55123,,301,,,,,,0.955,6.182,3.1,10,1.5,Semi Diurnal
TAS,Sea Elephant River,-39.916,143.987,near pristine,wave dominated,STRANDPLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Seal River,-40.07,143.94,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.11089,0.56092,,,0.20861,,0.19677,,,,0.13562,,,,,,,,,,,,,,,,
TAS,Sellars Lagoon,-40.03,148.27,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Shag Lagoon,-40.162,148.206,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Sloop Lagoon,-41.209,148.276,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,4.15,,,1.47,0.55,0.25,0.027,,,,,,
TAS,South Cape Rivulet,-43.603,146.786,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,0.96,,,0.45,,,0.026,,,,,,
TAS,Southport,-43.447,146.961,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,,4.06145,0.52811,0.85048,0.3954,,,,0.01468,,0.12817,,,0.19242,23.64,200,4.24,7.38,2.45,0.62,0.25,1.06,6.96,4.5,12.8,1.2,Diurnal
TAS,Southport Lagoon,-43.489,146.982,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,20.93,43,10.06,3.97,5.19,0.53,0.24,1.06,6.96,4.5,12.8,1.2,Diurnal
TAS,Spero River,-42.636,145.335,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,0.88,154,0.031,0.39,,,0.036,2.815,8.989,8.5,13.9,1.1,Diurnal
TAS,Spring Bay,-42.549,147.923,modified,tide dominated,OTHER,,,0.80899,,0.14016,,,,,,5.52407,,,8.43835,16.68,124,5.11,5.63,1.69,,1.49,0.469,6.122,2,10.5,1.1,Diurnal
TAS,Stoney Lagoon,-42.153,148.076,modified,wave dominated,OTHER,,,0.00172,0.01499,,,,,,,0.02852,,,,0,,,,,,,,,,,,
TAS,Tamar River,-41.069,146.776,extensively modified,tide dominated,TIDE-DOMINATED ESTUARY,,,,,21.23391,,7.42997,,0.29425,,75.15767,,,0.60395,193.97,11392,91.71,68.84,3.51,,2.87,1.12,5.021,5.5,9.5,2.4,Semi Diurnal
TAS,Templestowe Lagoon,-41.727,148.279,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.07032,0.50103,0.06236,0.03454,0.16866,,0.26339,,,,0.04969,,,,,,,,,,,,,,,,
TAS,Thirsty Lagoon,-40.39,148.438,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Tomahawk River,-40.865,147.761,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.02156,,,0.16718,0.13343,,0.03225,,,,0.17739,,,,4.15,228,0.07,1.96,,,0.071,1.159,5.286,5.9,9.9,1.6,Semi Diurnal
TAS,Wanderer River,-42.733,145.387,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,8.56,351,0.15,4.17,,,0.044,2.675,9.006,8.2,14,1.1,Diurnal
TAS,Welcome Inlet,-40.717,144.771,modified,tide dominated,TIDAL FLAT/CREEK,,,,,8.1305,,1.06954,,,,1.96116,,,,,361,,,,,,1.918,9.065,8.6,14.4,1.9,Semi Diurnal
TAS,West Inlet,-40.787,145.261,modified,tide dominated,TIDAL FLAT/CREEK,3.52998,,,6.70608,1.03052,,0.6233,,,,0.6691,,,,10.88,33,2.37,3.89,1.06,,0.95,0.854,4.995,4.8,10.5,2.6,Semi Diurnal
